60.0000	64.0000	1.0000	1.5500	1.0000
62.0000	71.0000	1.4833	2.0479	2.0000
64.0000	80.0000	1.9708	3.0229	3.0000
62.0000	71.0000	2.9688	3.4646	4.0000
60.0000	64.0000	3.4271	4.0125	5.0000
62.0000	64.0000	3.9125	4.9271	6.0000
64.0000	71.0000	4.8771	5.4479	7.0000
67.0000	72.0000	5.3271	5.9083	8.0000
69.0000	72.0000	5.8229	7.6854	9.0000
67.0000	72.0000	7.6542	8.6208	10.0000
72.0000	80.0000	8.5708	9.0646	11.0000
67.0000	47.0000	9.0271	9.5771	12.0000
69.0000	64.0000	9.5083	10.4813	13.0000
67.0000	64.0000	10.4333	10.9354	14.0000
64.0000	59.0000	10.8646	11.3813	15.0000
62.0000	71.0000	11.3292	12.7750	16.0000
60.0000	59.0000	12.7250	12.9625	17.0000
60.0000	59.0000	13.1938	15.4396	18.0000
